m^2,lambda,nsteps,mag,abs mag
-3,0.5,50000,-5.3891,5.3891,
-2.7,0.5,50000,5.11478,5.11478,
-2.4,0.5,50000,-4.81849,4.81849,
-2.1,0.5,50000,4.51378,4.51378,
-1.8,0.5,50000,4.16887,4.16887,
-1.5,0.5,50000,3.80663,3.80663,
-1.2,0.5,50000,-3.39012,3.39012,
-0.9,0.5,50000,2.92928,2.92928,
-0.6,0.5,50000,2.33849,2.33849,
-0.3,0.5,50000,-1.62205,1.62205,
0,0.5,50000,-0.141176,0.238789,
0.3,0.5,50000,-0.0288881,0.14163,
0.6,0.5,50000,0.00237543,0.0901651,
0.9,0.5,50000,0.00214389,0.0784914,
1.2,0.5,50000,-0.000162661,0.0526289,
1.5,0.5,50000,-0.0273266,0.0636614,
1.8,0.5,50000,0.00891624,0.0485225,
2.1,0.5,50000,-0.00362764,0.0479627,
2.4,0.5,50000,0.008148,0.0443541,
2.7,0.5,50000,-0.00094411,0.0431289,
3,0.5,50000,-0.00166088,0.0354184,
